id,name,category,sub_category,address,lng,lat
14068,鲜小诺生活超市(肥西店),supermarket,060400,上派河路与唐老圩路交叉口馆驿花园,117.144325,31.710275
14069,好客多超市(春景花园店),supermarket,060400,盘亭路与金寨南路辅路交叉口北120米,117.144895,31.706714
14070,薄利超市(祥欣楼店),supermarket,060400|060200,阳光公寓东南1门旁,117.148883,31.707789
14071,惠宜生鲜超市(春景花园店),supermarket,060703|060400|060200,春景花园7栋116-117商,117.143222,31.708644
14072,惠兴客超市,supermarket,060200|060400,上派镇馆驿路丽丰铂羽公馆售楼部C1号109商铺,117.148928,31.705698
14073,红府超市(肥西长鑫),supermarket,060400,创新大道tcl号,117.12978,31.737984
14074,晨源生活超市(文一西溪湾店),supermarket,060400,珍珠路文一西溪湾,117.142394,31.711369
14075,三岗购物中心,supermarket,060400,三岗路与070乡道交叉口西南20米,117.117392,31.71193
14076,拐角喜铺,supermarket,060400,春景花园西北门东北90米,117.143922,31.709616
14077,皖美华联超市(紫荆名都锦园店),supermarket,060400,苏家埠路与杭埠河大道交叉口东240米,117.110037,31.761861
14078,华联精品生活超市(紫荆名都店),supermarket,060400,华南城紫荆名都二期沁园东门西北150米,117.102943,31.767928
14079,鲜生源生活超市(紫荆名都·锦园店),supermarket,060400,华南城紫荆名都四期锦园幼儿园边社区商铺102.103,117.110553,31.76223
14080,鲜多生鲜超市(沁园店),supermarket,060703|060400,华南城紫荆名都·沁园S1号-商107,117.103334,31.767117
14081,世纪华联超市(桥湾路店),supermarket,060400,桥湾路28号附近,117.146822,31.77138
14082,森腾生活超市(东欧公寓店),supermarket,060400,肥西县经济开发区繁华大道与万佛山路交口东欧公寓旗舰店一楼,117.136974,31.783339
14083,好又多生活超市,supermarket,060400,大柏店路与元亨大道交叉口东南80米,117.127325,31.757525
14084,汇金超市(汤口路店),supermarket,060400,顺和家园39,117.146207,31.774127
14085,贵客烟酒文体超市(紫荆名都·沁园店),supermarket,061209|060400,华南城紫荆名都二期住宅S2商01铺,117.104002,31.765908
14086,沁园乐惠生鲜超市(紫荆名都·沁园店),supermarket,060400,华南城紫荆名都二期沁园东门旁,117.103428,31.76695
14087,瑞健商贸(顺和家园商业街店),supermarket,060400,合家悦顺和家园农贸市场北门西南50米,117.147589,31.770351
14088,紫云乐惠生活超市,supermarket,060400,国四路s1号保利紫云,117.107126,31.763688
14089,肥西县晨奕超市,supermarket,060400,国四路s1号保利紫云云起,117.104975,31.763625
14090,好波(顺美广场店),supermarket,060400,桃花镇润发宜家生活超市二楼A1,117.147922,31.770374
14091,好又多超市,supermarket,060400,繁华大道与宜秀路交叉口东320米,117.12796,31.781558
14092,云湖逸境家宴中餐厅,supermarket,060400,苏家埠路与杭埠河大道交叉口东100米,117.108508,31.761907
14093,壹甲公寓(高新区店),supermarket,060200|060400,明清唐家具有限公司北门旁,117.133675,31.778075
14094,盒马鲜生(龙湖合肥高新天街店),supermarket,060400,石莲北路与龙湖一路交口高新龙湖天街店负一楼,117.125772,31.849214
14095,和源好又多生活超市(皖水路店),supermarket,060400,创新大道与皖水路交汇东南角,117.135154,31.844831
14096,客云来超市(祥源城店),supermarket,060400,望江西路与创新大道交口西北角祥源城S-4幢109/上室,117.131318,31.832849
14097,百草街生活超市,supermarket,060400,创新大道与长江西路交口东南角新华纺中心第C-2幢1层101室,117.137154,31.848135
14098,百味之家超市(晶澳店),supermarket,060400,长宁大道999号柏堰湾路,117.11897,31.81227
14099,好又多超市(永和店),supermarket,061209|060400,皖水路与支路一交叉口东南100米,117.112171,31.844433
14100,宜买购生鲜超市,supermarket,060400,蜀山区高新区龙湖二路光年世纪城S3幢一楼商铺109-111号,117.123635,31.847561
14101,悦购邻舍(龙湖欢肆店),supermarket,060400,复兴路与金茂湾东支路交叉口西南160米龙湖合肥欢肆L1层,117.141804,31.814851
14102,佰嘉购生活超市(长宁家园店),supermarket,060400,蜀山区高新技术产业开发区长宁大道与习友路交口长宁家园,117.116567,31.817862
14103,合家福(先研院内部超市)(内部专用),supermarket,060400,南岗镇望江西路与石莲路交口东南角中国科技大学先进技术研究院一层,117.125868,31.826273
14104,好鲜森超市(复兴家园店),supermarket,060400,文曲路与复兴路交口复兴家园3号楼5-2号商铺,117.137895,31.816199
14105,百分百超市(百草街店),supermarket,060400,海亮九玺北区正门西70米,117.14103,31.848093
14106,家康超市(高新安医店),supermarket,060400,百草街100号华纺新华城商铺,117.136728,31.848136
14107,和源好又多汇景城店,supermarket,060400,汇景城(科大先研院地铁站B口步行60米),117.135569,31.829631
